player_display_name,position,team,opponent_team,stat,pp_line,player_id,player_name,season,week,completions,attempts,passing_yards,passing_tds,interceptions,sacks,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,target_share,wopr,fantasy_points,opponent_team,pp_delta,team_long,spread,over_under
Geno Smith,QB,SEA,DEN,passing_yards,254.5,00-0030565,G.Smith,2024.0,1.0,18.0,25.0,171.0,1.0,1.0,2.0,4.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,,,17.84,DEN,-83.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,NE,passing_yards,254.5,00-0030565,G.Smith,2024.0,2.0,33.0,44.0,327.0,1.0,0.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,17.88,NE,72.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,MIA,passing_yards,254.5,00-0030565,G.Smith,2024.0,3.0,26.0,34.0,289.0,1.0,2.0,3.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,11.36,MIA,34.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,DET,passing_yards,254.5,00-0030565,G.Smith,2024.0,4.0,38.0,56.0,395.0,1.0,1.0,3.0,5.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,,,21.6,DET,140.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,NYG,passing_yards,254.5,00-0030565,G.Smith,2024.0,5.0,28.0,40.0,284.0,1.0,0.0,7.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,,,22.56,NYG,29.5,Seahawks,3.5,47.5
Deebo Samuel,WR,SF,TB,receiving_yards,79.5,00-0035719,D.Samuel,2019.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,17.0,0.0,2.0,0.11111111,0.17564103,1.7,TB,-62.5,49ers,-3.5,47.5
Deebo Samuel,WR,SF,CIN,receiving_yards,79.5,00-0035719,D.Samuel,2019.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,5.0,7.0,86.0,1.0,32.0,0.26923078,0.5236322,15.3,CIN,6.5,49ers,-3.5,47.5
Deebo Samuel,WR,SF,PIT,receiving_yards,79.5,00-0035719,D.Samuel,2019.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,44.0,0.0,78.0,0.12903225,0.41194838,4.4,PIT,-35.5,49ers,-3.5,47.5
Deebo Samuel,WR,SF,CLE,receiving_yards,79.5,00-0035719,D.Samuel,2019.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,14.0,0.10714286,0.21485794,0.3,CLE,-76.5,49ers,-3.5,47.5
Deebo Samuel,WR,SF,LA,receiving_yards,79.5,00-0035719,D.Samuel,2019.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,5.0,18.0,0.0,17.0,0.16129032,0.33418354,1.9,LA,-61.5,49ers,-3.5,47.5
Deebo Samuel,WR,SF,CAR,receiving_yards,79.5,00-0035719,D.Samuel,2019.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,1.0,3.0,3.0,19.0,0.0,3.0,0.13636364,0.22249417,10.8,CAR,-60.5,49ers,-3.5,47.5
Deebo Samuel,WR,SF,ARI,receiving_yards,79.5,00-0035719,D.Samuel,2019.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,40.0,0.0,68.0,0.1891892,0.46615925,4.0,ARI,-39.5,49ers,-3.5,47.5
Deebo Samuel,WR,SF,SEA,receiving_yards,79.5,00-0035719,D.Samuel,2019.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,112.0,0.0,95.0,0.25,0.5628531,11.2,SEA,32.5,49ers,-3.5,47.5
Deebo Samuel,WR,SF,ARI,receiving_yards,79.5,00-0035719,D.Samuel,2019.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,134.0,0.0,106.0,0.22727273,0.6462589,13.4,ARI,54.5,49ers,-3.5,47.5
Deebo Samuel,WR,SF,GB,receiving_yards,79.5,00-0035719,D.Samuel,2019.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0,18.0,0.10526316,0.26202697,11.0,GB,-29.5,49ers,-3.5,47.5
Deebo Samuel,WR,SF,BAL,receiving_yards,79.5,00-0035719,D.Samuel,2019.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,2.0,4.0,41.0,1.0,47.0,0.1904762,0.49394214,12.1,BAL,-38.5,49ers,-3.5,47.5
